î†©´ ØÆ´„Á•≠ · ØÆ¨ÆÈÏÓ Ø‡Æ£‡†¨¨Î fm.exe Version 1.0.1 (build Dec 14 2000 17:32:35)

ê•ß„´Ï‚†‚:
****************************************************************************************************************************
        L1 ∫          1          1          1     0.9942     0.9942     0.0058     0.9942     0.9884     0.9827   0.005733 ∫
        L2 ∫          0          1          1     0.9942     0.9942     0.0058     0.9942     0.9884     0.9827   0.005733 ∫
        C3 ∫          0          0          1     0.9942     0.9942     0.0058     0.9942     0.9884     0.9827   0.005733 ∫
       LL4 ∫          0          0          0          1          1          0          1     0.9942     0.9884   0.005766 ∫
      LL92 ∫          0          0          0          0          1          0 -5.008e-019 -2.504e-019 1.282e-016          0 ∫
       L10 ∫          0          0          0          0          0          1          0          0          0          0 ∫
        B5 ∫          0          0          0          0          1          0          1     0.9942     0.9884   0.005766 ∫
       BB6 ∫          0          0          0          0          1          0          0          1     0.9942     0.0058 ∫
       BB7 ∫          0          0          0          0          1          0          0          0          1          0 ∫
       BB8 ∫          0          0          0          0          1          0          0          0 3.925e-017          1 ∫
****************************************************************************************************************************
